collection,budget,genre,language,title,production_companies,release_date,revenue,runtime,rating
,11000000,Drama,en,Dead Man Walking,Havoc,29-12-95,39363635,122.0,B
,0,Adventure,en,Across the Sea of Time,Sony New Technologies,20-10-95,0,51.0,D
,0,Comedy,en,It Takes Two,Dualstar Productions,17-11-95,0,101.0,C
,12000000,Comedy,en,Clueless,Paramount Pictures,19-07-95,0,97.0,C
,0,Drama,en,Cry, the Beloved Country,Miramax,15-12-95,676525,106.0,C
,0,Drama,en,Richard III,British Screen,29-12-95,0,104.0,C
,10000000,Action,en,Dead Presidents,Caravan Pictures,06-10-95,0,119.0,C
,19000000,Drama,en,Restoration,Miramax Films,29-12-95,0,117.0,C
Mortal Kombat Collection,18000000,Action,en,Mortal Kombat,New Line Cinema,18-08-95,122195920,101.0,C
,20000000,Fantasy,en,To Die For,The Rank Organisation,20-05-95,21284514,106.0,C
,10000000,Drama,en,How To Make An American Quilt,Universal Pictures,06-10-95,23574130,116.0,C
,33000000,Crime,en,Se7en,New Line Cinema,22-09-95,327311859,127.0,A
Pocahontas Collection,55000000,Adventure,en,Pocahontas,Walt Disney Pictures,14-06-95,346079773,81.0,C
,0,Drama,en,When Night Is Falling,Alliance Communications Corporation,05-05-95,0,96.0,C
,6000000,Drama,en,The Usual Suspects,Blue Parrot Productions,19-07-95,23341568,106.0,A
,0,Action,en,Guardian Angel,#VALUE!,22-11-94,0,93.0,C
,15000000,Comedy,en,Mighty Aphrodite,Miramax Films,13-09-95,6700000,95.0,C
,0,Drama,it,Lamerica,#VALUE!,01-01-94,0,116.0,B
,0,Action,en,The Big Green,Walt Disney Pictures,29-09-95,0,100.0,C
,0,Drama,en,Georgia,Miramax Films,19-05-95,0,115.0,C
,0,,en,Kids of the Round Table,Telefilm Canada,08-07-97,0,89.0,E
,0,Comedy,en,Home for the Holidays,Paramount Pictures,02-11-95,17519169,103.0,C
,0,Comedy,it,Il postino,#VALUE!,,,,E
,0,Thriller,fr,Le confessionnal,#VALUE!,29-09-95,0,100.0,C
,45000000,Adventure,en,The Indian in the Cupboard,Paramount Pictures,14-07-95,0,96.0,C
,20000000,Drama,en,Eye for an Eye,Paramount Pictures,12-01-96,0,101.0,C
,0,Music,en,Mr. Holland's Opus,Hollywood Pictures,29-12-95,106269971,137.0,C
,0,Comedy,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Miramax Films,12-01-96,0,89.0,C
,0,Comedy,en,Two If by Sea,Warner Bros.,12-01-96,0,96.0,D
,15000000,Comedy,en,Bio-Dome,Metro-Goldwyn-Mayer (MGM),12-01-96,0,88.0,D
The Lawnmower Man Collection,0,Action,en,Lawnmower Man 2: Beyond Cyberspace,New Line Cinema,12-01-96,2409225,92.0,E
,0,Drama,en,Two Bits,Miramax Films,22-10-95,0,85.0,C
,0,Comedy,fr,Gazon maudit,Renn Productions,08-02-95,0,95.0,C
Friday Collection,3500000,Comedy,en,Friday,New Line Cinema,26-04-95,28215918,91.0,C
From Dusk Till Dawn Collection,19000000,Horror,en,From Dusk Till Dawn,A Band Apart,19-01-96,25836616,108.0,C
,50000000,Action,en,Fair Game,Silver Pictures,03-11-95,11534477,91.0,D
,0,Comedy,en,Kicking and Screaming,Castleberg Productions,06-10-95,718490,96.0,C
,0,Drama,fr,Les misérables,Les Films 13,22-03-95,0,175.0,C
,0,Drama,en,Bed of Roses,New Line Cinema,26-01-96,19030691,87.0,C
,15000000,Comedy,en,Big Bully,Warner Bros.,26-01-96,2042530,90.0,D
Screamers Collection,20000000,Horror,en,Screamers,The Movie Network (TMN),08-09-95,5781885,108.0,C
,0,Documentary,en,Nico Icon,#VALUE!,,,,E
,0,Drama,en,The Crossing Guard,Miramax Films,15-11-95,0,111.0,C
,44000000,Drama,en,The Juror,Columbia Pictures Corporation,02-02-96,0,118.0,C
,0,Family,fa,بادکنک سفید,I.R.I.B. Channel 2,01-01-95,0,85.0,B
,8000000,Drama,en,Things to Do in Denver When You're Dead,Miramax Films,01-12-95,529766,116.0,C
,900000,Drama,nl,Antonia,Bergen Film,12-09-95,0,102.0,B
,0,Romance,en,Once Upon a Time... When We Were Colored,BET Pictures,26-01-96,0,115.0,D
,0,,en,Last Summer in the Hamptons,#VALUE!,22-11-95,0,108.0,E
,0,Drama,en,Angels and Insects,Playhouse International Pictures,10-09-95,0,118.0,C
,38000000,Action,en,White Squall,Hollywood Pictures,02-02-96,10300000,129.0,C
,16000000,Adventure,en,Dunston Checks In,Twentieth Century Fox Film Corporation,12-01-96,0,88.0,C
,0,Comedy,en,Black Sheep,Paramount Pictures,01-02-96,32,87.0,C
,8169363,Crime,en,Nick of Time,Paramount Pictures,22-11-95,8175346,90.0,C
,0,Drama,en,The Journey of August King,Miramax Films,14-09-95,0,91.0,C
,47000000,Drama,en,Mary Reilly,TriStar Pictures,23-02-96,12379402,104.0,C
,14000000,Comedy,en,Vampire in Brooklyn,Paramount Pictures,26-10-95,19800000,100.0,D
,0,Comedy,en,Beautiful Girls,Miramax Films,09-02-96,0,112.0,C
,50000000,Action,en,Broken Arrow,Twentieth Century Fox Film Corporation,09-02-96,150270147,108.0,C
,0,Comedy,en,A Midwinter's Tale,Castle Rock Entertainment,01-12-95,0,99.0,B
,3000000,Drama,fr,La Haine,Egg Pictures,31-05-95,0,98.0,B
,0,Action,en,Shopping,Channel Four Films,06-12-94,0,105.0,C
,0,Documentary,en,Heidi Fleiss: Hollywood Madam,British Broadcasting Corporation (BBC),27-12-95,0,106.0,C
,0,Drama,en,City Hall,Columbia Pictures,16-02-96,0,111.0,C
,7000000,Comedy,en,Bottle Rocket,Gracie Films,21-02-96,560069,91.0,C
,0,Comedy,en,Mr. Wrong,Touchstone Pictures,16-02-96,0,96.0,D
,18000000,Drama,en,Unforgettable,Metro-Goldwyn-Mayer (MGM),23-02-96,0,106.0,C
,12000000,Comedy,en,Happy Gilmore,Universal Pictures,16-02-96,41205099,92.0,C
,24000000,Drama,en,The Bridges of Madison County,Amblin Entertainment,28-05-95,182016617,135.0,B
,0,Drama,de,Keiner liebt mich,#VALUE!,07-11-94,0,104.0,C
The Muppet Collection,0,Action,en,Muppet Treasure Island,Walt Disney Pictures,16-02-96,34327391,100.0,C
,0,Documentary,en,Catwalk,#VALUE!,08-12-95,0,95.0,C
,0,Crime,en,Headless Body in Topless Bar,#VALUE!,20-05-95,0,110.0,E
,72000000,Action,en,Braveheart,Icon Entertainment International,24-05-95,210000000,177.0,B
,1300000,Crime,en,Taxi Driver,Columbia Pictures Corporation,07-02-76,28262574,114.0,A
,7500000,Crime,cn,紅番區,New Line Cinema,30-01-95,32392047,91.0,C
,35000000,Drama,en,Before and After,Caravan Pictures,23-02-96,0,108.0,C
,0,Drama,en,Margaret's Museum,Téléfilm Canada,13-09-95,0,114.0,B
,13365000,Comedy,en,Le Bonheur est dans le pré,France 2 Cinéma,31-01-95,0,106.0,C
,0,Documentary,en,Anne Frank Remembered,#VALUE!,08-06-95,1,117.0,B
,0,Comedy,en,The Young Poisoner's Handbook,Bavaria Film and Television Fund,20-01-95,0,99.0,C
,0,Comedy,en,If Lucy Fell,TriStar Pictures,08-03-96,0,92.0,C
,25000000,Comedy,en,Steal Big Steal Little,Savoy Pictures,29-09-95,6278139,113.0,C
,0,Action,en,Race the Sun,TriStar Pictures,22-03-96,0,100.0,C
,0,Drama,en,The Boys of St. Vincent,#VALUE!,06-12-92,0,90.0,C
,40000000,Comedy,en,Boomerang,Paramount Pictures,30-06-92,70100000,117.0,C
,0,Drama,cn,重慶森林,Jet Tone Production,14-07-94,0,102.0,B
,0,Drama,it,L'uomo delle stelle,Cecchi Gori Group Tiger Cinematografica,21-09-95,0,113.0,C
,7000000,Comedy,en,Flirting with Disaster,Miramax Films,22-03-96,14702438,92.0,C
The Neverending Story Collection,17000000,Fantasy,en,The NeverEnding Story III,Studio Babelsberg,26-10-94,0,95.0,D
,0,Drama,ar,صمت القصور,Canal Horizons,30-09-94,0,116.0,D
,0,,en,Jupiter's Wife,#VALUE!,,,,E
,/uUi23HjvDFYGfuVlCBGozUY1Ab4.jpg,,87.0,[],#VALUE!,0,,,E
,0,Comedy,en,Pie in the Sky,#VALUE!,09-02-96,0,95.0,C
,0,Comedy,en,Angela,#VALUE!,01-01-95,0,99.0,C
,0,Drama,it,Frankie Starlight,Fine Line Features,22-11-95,0,101.0,C
,50000000,Action,en,Jade,Paramount Pictures,13-10-95,9851610,95.0,C
,0,Comedy,es,Nueba Yol,Cigua Films,16-08-95,0,102.0,C
,0,Music,en,Sonic Outlaws,#VALUE!,01-08-95,0,87.0,E
,0,Comedy,en,Down Periscope,Twentieth Century Fox Film Corporation,01-03-96,0,92.0,C
,0,Documentary,en,From the Journals of Jean Seberg,Couch Potatoe Productions,08-09-95,0,97.0,C
,0,Comedy,en,Man of the Year,#VALUE!,15-09-95,209935,86.0,D
,0,Drama,en,The Neon Bible,Channel Four Films,23-08-95,0,91.0,B
,0,,en,Target,#VALUE!,01-08-95,0,122.0,E
,60000000,Drama,en,Up Close & Personal,Cinergi Pictures Entertainment,01-03-96,0,119.0,C
,31000000,Comedy,en,The Birdcage,United Artists,08-03-96,185260553,117.0,C
,0,Drama,en,Gospa,#VALUE!,12-10-95,0,125.0,C
,0,Comedy,en,The Brothers McMullen,Fox Searchlight Pictures,09-08-95,0,98.0,C
Bad Boys Collection,19000000,Action,en,Bad Boys,Columbia Pictures,07-04-95,141407024,118.0,C
,0,Action,en,The Amazing Panda Adventure,Warner Bros.,25-08-95,0,81.0,D
,0,Drama,en,The Basketball Diaries,New Line Cinema,21-04-95,0,102.0,B
,4000000,Romance,en,An Awfully Big Adventure,Fine Line Features,21-07-95,851545,113.0,C
,0,Crime,en,Amateur,Channel Four Films,05-08-94,0,105.0,C
,52000000,Drama,en,Apollo 13,Imagine Entertainment,30-06-95,355237933,140.0,B
,28000000,Adventure,en,Rob Roy,United Artists,13-04-95,31596911,139.0,C
,0,Drama,en,The Addiction,October Films,10-01-95,0,82.0,C
Batman Collection,100000000,Action,en,Batman Forever,#VALUE!,,,,E
,0,Drama,fr,Belle de jour,Paris Films Productions,24-05-67,0,101.0,B
,0,Drama,en,Beyond Rangoon,Columbia Pictures,24-05-95,0,100.0,C
Brooklyn Cigar Store Collection,2000000,Comedy,en,Blue in the Face,Miramax Films,15-09-95,1275000,83.0,C
,11000000,Action,en,Canadian Bacon,PolyGram Filmed Entertainment,08-06-95,178104,91.0,C
Casper Collection,50000000,Fantasy,en,Casper,Universal Pictures,26-05-95,287928194,100.0,C
,25000000,Mystery,en,Clockers,#VALUE!,,,,E
,50000000,Action,en,Congo,Paramount Pictures,09-06-95,152022101,109.0,D
,53000000,Action,en,Crimson Tide,Hollywood Pictures,12-05-95,157387195,116.0,C
,0,Documentary,en,Crumb,Superior Pictures,10-09-94,3174695,119.0,B
Mexico Trilogy,7000000,Thriller,en,Desperado,Columbia Pictures,25-08-95,25405445,104.0,C
,27000000,Drama,en,Devil in a Blue Dress,TriStar Pictures,15-09-95,16140822,102.0,C
Die Hard Collection,90000000,Action,en,Die Hard: With a Vengeance,Twentieth Century Fox Film Corporation,19-05-95,366101666,128.0,C
Teenage Apocalypse Trilogy,0,Action,en,The Doom Generation,Why Not Productions,27-10-95,0,80.0,C
,0,Drama,en,Feast of July,Touchstone Pictures,12-10-95,0,116.0,E
,55000000,Action,en,First Knight,Columbia Pictures Corporation,07-07-95,127600435,134.0,C
Free Willy Collection,0,Adventure,en,Free Willy 2 - The Adventure Home,Regency Enterprises,19-07-95,0,95.0,C
,20000000,Action,en,Hackers,United Artists,14-09-95,7563728,107.0,C
,0,Comedy,en,Jeffrey,The Booking Office,18-08-95,0,92.0,C
,25000000,Adventure,en,Johnny Mnemonic,TriStar Pictures,26-05-95,19075720,97.0,C
,90000000,Science Fiction,en,Judge Dredd,Hollywood Pictures,30-06-95,113493481,96.0,C
,0,Comedy,en,Jury Duty,TriStar Pictures,12-04-95,17014653,88.0,D
,1500000,Drama,en,Kids,Miramax Films,28-07-95,7412216,91.0,C
,500000,Drama,en,Living in Oblivion,JDI productions,20-01-95,1148752,89.0,B
,0,Mystery,en,Lord of Illusions,United Artists,25-08-95,0,119.0,C
,0,Comedy,en,Love & Human Remains,The Ontario Film Development Corporation,20-05-93,0,100.0,C
,0,Drama,en,Mad Love,Touchstone Pictures,26-05-95,15453274,95.0,C
,6000000,Romance,en,Mallrats,Universal Pictures,20-10-95,2122561,94.0,C
Power Rangers Collection,15000000,Action,en,Mighty Morphin Power Rangers: The Movie,Twentieth Century Fox Film Corporation,30-06-95,66000000,92.0,C
,0,Comedy,en,Moonlight and Valentino,PolyGram Filmed Entertainment,29-09-95,0,100.0,C
,2,Thriller,en,Mute Witness,Comet Film Produktion GmbH,28-09-95,1,95.0,C
,0,Horror,en,Nadja,Kino Link Company,13-09-94,0,93.0,C
Síť (kolekce),22000000,Crime,en,The Net,Columbia Pictures,28-07-95,110627965,114.0,C
,0,Comedy,en,Nine Months,Twentieth Century Fox Film Corporation,12-07-95,69660733,103.0,C
,150000,Comedy,en,Party Girl,Party Productions,09-06-95,472370,94.0,C
The Prophecy Collection,8,Fantasy,en,The Prophecy,Dimension Films,01-09-95,16,98.0,C
,0,Fantasy,en,Reckless,Playhouse International Pictures,17-11-95,0,91.0,A
,0,Drama,en,Safe,Killer Films,23-06-95,0,119.0,B
,50000000,Drama,en,The Scarlet Letter,Hollywood Pictures,13-10-95,10382407,135.0,C
,0,Documentary,en,The Show,#VALUE!,25-08-95,0,93.0,C
Showgirls Collection,45000000,Drama,en,Showgirls,United Artists,22-09-95,20350754,128.0,D
Brooklyn Cigar Store Collection,7000000,Comedy,en,Smoke,Miramax Films,09-06-95,8349430,112.0,B
,0,Comedy,en,Something to Talk About,Spring Creek Productions,04-08-95,50892160,106.0,C
Species Collection,35000000,Science Fiction,en,Species,Metro-Goldwyn-Mayer (MGM),07-07-95,113374103,108.0,C
,0,Drama,en,The Stars Fell on Henrietta,Malpaso Productions,15-09-95,0,109.0,C
,42000000,Crime,en,Strange Days,Lightstorm Entertainment,13-10-95,7959291,145.0,C
,0,Drama,fr,Les parapluies de Cherbourg,Beta Film,19-02-64,0,91.0,B
,14000000,Thriller,en,The Tie That Binds,Hollywood Pictures,08-09-95,5780000,99.0,D
,0,Drama,en,Three Wishes,#VALUE!,,,,E
,0,Drama,en,Total Eclipse,Société Française de Production (SFP),02-11-95,339889,111.0,C
,0,Comedy,en,To Wong Foo, Thanks for Everything! Julie Newmar,Universal Pictures,07-09-95,47774193,105.0,C
Under Siege Collection,60000000,Action,en,Under Siege 2: Dark Territory,Regency Enterprises,13-07-95,104324083,100.0,C
,0,Comedy,en,Unstrung Heroes,Hollywood Pictures,15-09-95,0,93.0,C
,0,Documentary,en,Unzipped,#VALUE!,11-08-95,0,73.0,C
,20000000,Drama,en,A Walk in the Clouds,Twentieth Century Fox Film Corporation,11-08-95,50012507,103.0,C
,175000000,Adventure,en,Waterworld,Universal Pictures,28-07-95,264218220,135.0,C
,8000000,Drama,en,White Man's Burden,HBO,01-12-95,0,89.0,C
,30000000,Action,en,Wild Bill,United Artists,01-12-95,0,98.0,C
,0,Drama,en,The Browning Version,Paramount Pictures,12-10-94,0,97.0,C
,0,Adventure,en,Bushwhacked,Twentieth Century Fox Film Corporation,04-08-95,0,90.0,D
Burnt by the Sun Trilogy,2800000,Drama,ru,Утомлённые солнцем,Canal+,01-05-94,2616503,135.0,C
,0,Drama,en,Before the Rain,PolyGram Audiovisuel,09-06-94,763847,113.0,B
Before... Collection,2500000,Drama,en,Before Sunrise,Detour Film Production,27-01-95,5535405,105.0,B
,10000000,Comedy,en,Billy Madison,Jack Giarraputo Productions,10-02-95,26488734,89.0,C
,0,Drama,en,The Babysitter,Spelling Films International,17-10-95,0,90.0,D
,21000000,Comedy,en,Boys on the Side,Regency Enterprises,03-02-95,23450000,115.0,C
,0,Drama,en,The Cure,Universal Pictures,21-04-95,0,97.0,B
,0,Thriller,en,Castle Freak,Full Moon Entertainment,04-08-95,0,95.0,C
,0,Drama,en,Circle of Friends,The Rank Organisation,16-03-95,0,103.0,C
Clerks Collection,27000,Comedy,en,Clerks,Miramax Films,13-09-94,3151130,92.0,B
,25000000,Romance,en,Don Juan DeMarco,New Line Cinema,01-10-94,22200000,97.0,C
,55000000,Drama,en,Disclosure,Warner Bros.,09-12-94,214015089,123.0,C
,0,Thriller,en,Dream Man,Keystone Pictures,01-01-95,0,0.0,E
,45000000,Action,en,Drop Zone,Paramount Pictures,08-12-94,0,101.0,C
,0,Crime,it,Destiny Turns on the Radio,Savoy Pictures,28-04-95,0,0.0,C
,0,Drama,en,Death and the Maiden,Fine Line Features,04-05-94,0,103.0,B
,0,Crime,en,Dolores Claiborne,Castle Rock Entertainment,24-03-95,0,132.0,B
Dumb and Dumber Collection,16000000,Comedy,en,Dumb and Dumber,New Line Cinema,16-12-94,247275374,107.0,C
,0,Comedy,zh,飲食男女,Ang Lee Productions,03-08-94,7294403,123.0,B
,0,Drama,en,Exotica,Miramax Films,24-09-94,0,103.0,C
,0,Thriller,en,Exit to Eden,Savoy Pictures,14-10-94,6841570,113.0,D
,18000000,Comedy,en,Ed Wood,Touchstone Pictures,27-09-94,5887457,127.0,B
,0,Comedy,en,French Kiss,Twentieth Century Fox Film Corporation,05-05-95,0,111.0,C
,0,Comedy,en,Forget Paris,Columbia Pictures,19-05-95,0,101.0,C
,0,Action,en,Far from Home: The Adventures of Yellow Dog,Twentieth Century Fox Film Corporation,13-01-95,0,87.0,C
A Goofy Movie Collection,0,Romance,en,A Goofy Movie,Walt Disney Pictures,07-04-95,35348597,78.0,C
,15000000,Drama,en,Hideaway,TriStar Pictures,03-03-95,12201255,103.0,D
,0,Drama,en,Fluke,Metro-Goldwyn-Mayer,02-06-95,0,96.0,C
,0,History,fr,Farinelli,Italian International Film,07-12-94,0,111.0,C
,0,Drama,en,Gordy,#VALUE!,12-05-95,3992809,90.0,E
,0,Fantasy,en,Gumby: The Movie,#VALUE!,01-12-95,0,77.0,D
,0,Drama,en,The Glass Shield,Miramax Films,16-09-94,0,109.0,C
,700000,Documentary,en,Hoop Dreams,Fine Line Features,12-09-94,7830611,171.0,B
,5000000,Drama,en,Heavenly Creatures,WingNut Films,02-09-94,3049135,99.0,C
,10500000,Comedy,en,Houseguest,Caravan Pictures,06-01-95,26325256,113.0,C
,120,Drama,en,Immortal Beloved,Columbia Pictures,16-12-94,0,121.0,C
,0,Comedy,en,Heavyweights,Walt Disney Pictures,17-02-95,17689177,100.0,C
,0,Action,en,The Hunted,Universal Pictures,24-02-95,0,106.0,C
,25000000,Comedy,en,I.Q.,Paramount Pictures,24-12-94,0,100.0,C
The Vampire Chronicles,60000000,Horror,en,Interview with the Vampire,Geffen Pictures,11-11-94,223664608,123.0,B
,14000000,Drama,en,Jefferson in Paris,Merchant Ivory Productions,31-03-95,2474000,139.0,C
,0,Comedy,en,The Jerky Boys,Caravan Pictures,03-02-95,0,82.0,D
,60000000,Comedy,en,Junior,Universal Pictures,22-11-94,37000000,109.0,D
,0,Action,en,Just Cause,Fountainbridge Films,17-02-95,0,102.0,C
,0,Adventure,en,A Kid in King Arthur's Court,Walt Disney Pictures,11-08-95,0,89.0,D
,40000000,Action,en,Kiss of Death,Twentieth Century Fox Film Corporation,21-04-95,0,101.0,C
Star Wars Collection,11000000,Adventure,en,Star Wars,Lucasfilm,25-05-77,775398007,121.0,A
,18000000,Drama,en,Little Women,Columbia Pictures,21-12-94,0,115.0,C
,17000000,Drama,en,A Little Princess,Warner Bros.,10-05-95,0,97.0,B
,0,Drama,en,Ladybird Ladybird,Channel Four Films,18-02-94,0,101.0,B
,10000000,Crime,fr,L'Enfer,MK2 Productions,16-02-94,0,100.0,C
,2000000,Drama,es,Como agua para chocolate,Aviacsa,16-04-92,21665468,105.0,C
,30000000,Adventure,en,Legends of the Fall,Bedford Falls Productions,16-12-94,160638883,133.0,B
,0,Adventure,en,Major Payne,Universal Pictures,24-03-95,0,95.0,C
,0,Action,en,Little Odessa,Fine Line Features,27-10-94,0,98.0,C
,0,Crime,en,Mi Vida Loca,Channel Four Films,08-06-94,0,92.0,C
,60000000,Drama,en,Love Affair,Warner Bros.,21-10-94,0,108.0,D
,17000000,Drama,en,Losing Isaiah,Paramount Pictures,17-03-95,7603766,106.0,C
,0,Comedy,en,The Madness of King George,Channel Four Films,28-12-94,0,107.0,C
,45000000,Drama,en,Frankenstein,American Zoetrope,04-11-94,112006296,123.0,C
,0,Action,en,Man of the House,Walt Disney Pictures,03-03-95,0,96.0,C
,15000000,Comedy,en,Mixed Nuts,TriStar Pictures,21-12-94,0,97.0,C
,0,Comedy,en,Milk Money,Paramount Pictures,31-08-94,18137661,108.0,C
,0,Fantasy,en,Miracle on 34th Street,Twentieth Century Fox Film Corporation,18-11-94,46264384,114.0,C
,6,Comedy,en,Miami Rhapsody,Hollywood Pictures,27-01-95,5,95.0,C
,5500000,Comedy,en,My Family,American Zoetrope,03-05-95,0,128.0,C
,0,Crime,en,Murder in the First,Wolper Organization,20-01-95,17381942,122.0,C
,0,Drama,en,Nobody's Fool,Paramount Pictures,23-12-94,0,110.0,C
,31000000,Drama,en,Nell,Twentieth Century Fox Film Corporation,23-12-94,106683817,112.0,C
,0,Crime,en,New Jersey Drive,40 Acres & A Mule Filmworks,19-04-95,0,98.0,C
,0,Action,en,New York Cop,TOEI,14-08-93,0,93.0,E
,4800000,Horror,en,Beyond Bedlam,Metrodome Films,22-04-94,0,89.0,D
Nemesis Collection,0,Science Fiction,en,Nemesis 2 - Nebula,Filmwerks,26-09-95,0,83.0,D
,0,Drama,en,Nina Takes a Lover,Triumph Films,03-03-95,0,100.0,B
,34000000,Crime,en,Natural Born Killers,Regency Enterprises,25-08-94,50282766,119.0,C
,0,Comedy,en,Only You,TriStar Pictures,17-09-94,0,115.0,C
Once were Warriors Collection,0,Drama,en,Once Were Warriors,Avalon Studios,02-09-94,2201126,99.0,B
Poison Ivy Collection,0,Drama,en,Poison Ivy II: Lily,New Line Cinema,16-01-96,0,106.0,D
,50000000,Action,en,Outbreak,Kopelson Entertainment,10-03-95,189859560,127.0,C
,16000000,Thriller,fr,Léon,Columbia Pictures,14-09-94,45284974,110.0,A
,11000000,Comedy,en,The Perez Family,Samuel Goldwyn Company, The,12-05-95,2832826,113.0,C
,0,Comedy,en,A Pyromaniac's Love Story,Hollywood Pictures,28-04-95,0,94.0,C
,8000000,Thriller,en,Pulp Fiction,Miramax Films,10-09-94,213928762,154.0,A
,0,Drama,en,Panther,Polygram Filmed Entertainment,10-11-95,6834525,124.0,C
,400000,Comedy,zh,Pushing Hands,Ang Lee Productions,01-02-92,152322,105.0,C
,0,Drama,en,Priest,BBC Films,01-01-94,4176932,98.0,C
,0,History,en,Quiz Show,Wildwood Enterprises,16-09-94,0,133.0,B
,0,Drama,en,Picture Bride,Cecile Company,05-05-95,0,94.0,B
,0,Drama,fr,La Reine Margot,Renn Productions,13-05-94,0,162.0,C
,32000000,Action,en,The Quick and the Dead,TriStar Pictures,09-02-95,18552460,107.0,C
,22000000,Drama,sv,Roommates,Hollywood Pictures,01-03-95,12400000,108.0,C
,15000000,Drama,en,Prêt-à-Porter,#VALUE!,,,,E
Three Colors Collection,0,Drama,fr,Trois couleurs : Rouge,Zespół Filmowy TOR,27-05-94,0,99.0,B
Three Colors Collection,0,Drama,fr,Trois couleurs : Bleu,France 3 Cinéma,10-01-93,0,98.0,B
Three Colors Collection,0,Comedy,fr,Trois couleurs : Blanc,Le Studio Canal+,26-01-94,0,91.0,B
,0,Drama,zh,Pao Da Shuang Deng,#VALUE!,14-10-94,0,111.0,C
,0,Comedy,en,Rent-a-Kid,#VALUE!,01-01-95,0,85.0,C
,0,Horror,en,Relative Fear,Allegro Films,03-10-95,0,90.0,D
,0,Comedy,en,Stuart Saves His Family,Paramount Pictures,12-04-95,0,95.0,D
Swan Princess Series,35000000,Animation,en,The Swan Princess,Rich Animation Studios,18-11-94,9771658,89.0,C
,0,Drama,en,The Secret of Roan Inish,Jones Entertainment Group,01-01-94,0,97.0,C
,45000000,Action,en,The Specialist,Jerry Weintraub Productions,07-10-94,170362582,110.0,C
,55000000,Action,en,Stargate,Centropolis Entertainment,27-10-94,196567262,121.0,C
The Santa Clause Collection,22000000,Fantasy,en,The Santa Clause,Walt Disney Pictures,10-11-94,189833357,97.0,C
,25000000,Drama,en,The Shawshank Redemption,Castle Rock Entertainment,23-09-94,28341469,142.0,A
,0,Crime,en,Shallow Grave,Channel Four Films,22-12-94,0,92.0,C
