Unnamed: 0,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,Hours,whyplay,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,GAD_T,SPIN_T,Residence_ISO3,Birthplace_ISO3,Multiplayer,Online,Relation
32,3,3,3,3,2,0,1,18.0,having fun,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,Male,20,Student at college / university,Sweden,15,46.0,SWE,SWE,no,no,alone
33,1,0,1,0,0,0,0,8.0,having fun,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,26,Employed,Canada,2,11.0,CAN,CAN,yes,yes,strangers
34,0,0,0,0,0,0,0,9.0,improving,2.0,2.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,Female,23,Employed,UK,0,39.0,GBR,GBR,yes,yes,friends
35,0,0,0,0,0,2,0,6.0,winning,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,Female,22,Unemployed / between jobs,UK,2,60.0,GBR,GBR,yes,yes,strangers
36,0,0,0,0,0,1,0,7.0,having fun,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,Male,25,Student at college / university,USA,1,29.0,USA,USA,yes,yes,strangers
37,1,1,0,0,0,1,1,18.0,having fun,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,,2.0,1.0,1.0,0.0,1.0,Female,22,Student at college / university,Greece,4,,GRC,GRC,yes,yes,friends
38,2,2,2,2,2,2,2,18.0,improving,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,Male,24,Student at college / university,USA,14,13.0,USA,USA,no,no,alone
39,2,1,1,2,0,0,1,10.0,having fun,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,Female,24,Student at college / university,Canada,7,41.0,CAN,CAN,no,no,alone
40,0,0,1,2,1,1,0,20.0,having fun,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,21,Student at college / university,Ireland,5,8.0,IRL,IRL,no,no,alone
41,2,2,2,2,2,2,2,10.0,having fun,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,Female,18,Student at college / university,USA,14,24.0,USA,CHE,no,no,alone
42,1,1,1,0,0,1,0,10.0,having fun,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,UK,4,9.0,GBR,GBR,yes,yes,strangers
43,0,0,0,0,0,0,0,12.0,having fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,27,Employed,USA,0,1.0,USA,USA,yes,yes,strangers
44,1,1,1,1,0,2,1,7.0,having fun,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Male,21,Student at college / university,USA,7,17.0,USA,USA,yes,yes,friends
45,2,1,2,2,2,2,2,5.0,winning,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,24,Student at college / university,Canada,13,3.0,CAN,CAN,yes,yes,friends
46,2,1,3,1,0,1,0,,winning,0.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,4.0,Male,20,Student at college / university,UK,8,38.0,GBR,GBR,yes,yes,online acquaintaces
47,1,1,0,0,1,2,0,4.0,improving,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,Male,18,Student at school,USA,5,30.0,USA,USA,no,no,alone
48,2,2,2,1,0,0,0,20.0,relaxing,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,Female,25,Employed,USA,7,24.0,USA,USA,no,no,alone
50,2,2,2,2,1,0,2,25.0,improving,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,18,Student at college / university,USA,11,17.0,USA,USA,yes,yes,strangers
51,1,1,1,0,1,0,0,18.0,having fun,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,Male,18,Student at college / university,USA,4,20.0,USA,USA,no,no,alone
52,1,0,1,0,0,0,0,15.0,improving,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at college / university,Turkey,2,12.0,TUR,TUR,yes,yes,friends
53,0,0,0,0,0,1,0,10.0,having fun,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,28,Unemployed / between jobs,UK,1,11.0,GBR,GBR,yes,yes,friends
54,0,0,0,0,1,1,0,30.0,having fun,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,Female,21,Student at college / university,USA,2,20.0,USA,USA,no,no,alone
55,2,2,2,1,0,1,0,11.0,having fun,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,Female,22,Student at college / university,USA,8,17.0,USA,USA,yes,yes,strangers
56,2,1,1,3,1,2,0,0.0,having fun,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,Male,19,Student at college / university,USA,10,44.0,USA,USA,no,no,alone
57,0,0,0,0,0,0,0,30.0,improving,1.0,0.0,3.0,2.0,3.0,,0.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at school,UK,0,,GBR,BGR,yes,yes,friends
59,0,0,0,0,0,0,0,10.0,having fun,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Male,24,Student at college / university,USA,0,6.0,USA,USA,yes,no,friends
60,0,1,1,1,0,0,3,20.0,having fun,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,Canada,6,13.0,CAN,CAN,yes,yes,online acquaintaces
61,3,3,1,1,0,1,0,0.0,having fun,1.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,Male,19,Student at college / university,Canada,9,27.0,CAN,CAN,no,no,alone
62,0,0,0,0,0,0,0,40.0,having fun,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,4.0,Male,27,Employed,Sweden,0,35.0,SWE,SWE,no,no,alone
63,1,0,1,0,0,2,0,18.0,improving,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,18,Student at college / university,USA,4,4.0,USA,USA,yes,yes,strangers
64,2,0,1,2,2,2,0,5.0,having fun,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,Female,30,Employed,Germany,9,38.0,DEU,USA,yes,yes,strangers
65,2,2,3,2,2,2,2,25.0,having fun,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,Female,18,Student at school,UK,15,32.0,GBR,GBR,yes,yes,strangers
66,3,3,2,3,1,3,3,1.0,relaxing,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,Female,18,Student at college / university,USA,18,64.0,USA,GBR,no,no,alone
67,2,3,3,3,3,3,2,14.0,relaxing,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,Male,22,Student at college / university,USA,19,64.0,USA,USA,no,no,alone
68,1,1,1,0,0,2,1,2.0,relaxing,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,1.0,Female,24,Student at college / university,Belgium,6,25.0,BEL,BEL,no,no,alone
69,1,1,1,0,0,0,0,12.0,winning,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,Male,18,Student at college / university,USA,3,11.0,USA,USA,yes,yes,online acquaintaces
70,0,0,0,0,0,0,0,40.0,having fun,,,,,,,,,,,,,,,,,,Male,19,Student at school,USA,0,,USA,USA,yes,yes,friends
71,1,0,1,2,1,1,1,10.0,improving,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,Male,40,Employed,Canada,7,54.0,CAN,CAN,no,no,alone
72,0,0,0,0,0,0,0,10.0,having fun,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,18,Student at college / university,USA,0,68.0,USA,USA,yes,yes,strangers
73,2,2,2,2,1,0,1,7.0,having fun,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,Male,19,Student at college / university,USA,10,21.0,USA,USA,no,no,alone
74,0,0,0,0,0,1,0,25.0,all,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,23,Employed,USA,1,3.0,USA,USA,no,no,alone
75,3,2,3,3,0,3,2,10.0,winning,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,24,Student at college / university,Canada,16,61.0,CAN,CAN,yes,yes,strangers
76,2,3,3,2,3,3,3,25.0,improving,1.0,2.0,1.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Male,18,Student at school,Latvia,19,47.0,LVA,LVA,yes,yes,friends
77,2,2,2,2,1,1,1,25.0,having fun,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,USA,11,15.0,USA,USA,no,no,alone
78,0,0,0,0,0,0,0,10.0,improving,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,Male,23,Student at college / university,Austria,0,36.0,AUT,AUT,yes,yes,friends
79,0,0,1,1,1,0,1,30.0,having fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,UK,4,0.0,GBR,GBR,yes,yes,online acquaintaces
80,2,1,1,1,0,1,2,20.0,improving,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,Male,19,Student at college / university,Australia,8,25.0,AUS,AUS,yes,yes,friends
81,3,3,3,3,3,3,3,40.0,winning,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,Male,21,Student at school,USA,21,45.0,USA,USA,yes,yes,online acquaintaces
82,0,0,0,0,0,0,0,5.0,having fun,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at college / university,UK,0,13.0,GBR,GBR,yes,yes,strangers
83,2,2,2,2,0,1,1,25.0,having fun,1.0,0.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,Female,34,Unemployed / between jobs,USA,10,38.0,USA,USA,no,no,alone
84,1,2,2,0,2,1,1,10.0,having fun,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,19,Student at college / university,USA,9,5.0,USA,USA,no,no,alone
85,0,0,0,0,0,0,0,5.0,having fun,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,50,Employed,Japan,0,7.0,JPN,USA,no,no,alone
86,3,3,3,3,2,3,1,10.0,improving,1.0,4.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,Female,20,Employed,USA,18,30.0,USA,USA,yes,yes,strangers
87,2,1,1,1,1,1,0,20.0,having fun,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,Female,21,Student at college / university,Canada,7,30.0,CAN,CAN,yes,yes,friends
88,0,0,0,1,0,1,1,45.0,having fun,0.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,3,30.0,USA,USA,yes,yes,friends
89,2,1,1,1,0,2,1,11.0,having fun,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,Male,28,Employed,Canada,8,30.0,CAN,CAN,no,no,alone
90,1,0,1,1,1,1,0,12.0,having fun,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,Male,18,Student at college / university,UK,5,11.0,GBR,GBR,yes,yes,friends
91,1,0,1,2,1,2,1,25.0,improving,1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,4.0,2.0,2.0,Male,24,Student at college / university,Canada,8,34.0,CAN,CAN,yes,yes,strangers
92,3,3,3,3,3,1,2,9.0,having fun,2.0,4.0,1.0,2.0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,18,,USA,USA,yes,yes,strangers
93,1,0,1,1,1,0,0,6.0,relaxing,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Male,22,Student at college / university,USA,4,13.0,USA,USA,yes,yes,friends
94,1,2,1,0,1,1,2,20.0,having fun,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Male,19,Student at college / university,USA,8,13.0,USA,USA,yes,yes,friends
95,3,3,3,3,0,0,0,6.0,relaxing,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Female,18,Student at school,USA,12,11.0,USA,USA,no,no,alone
96,1,1,0,1,0,2,1,20.0,relaxing,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,3.0,Female,22,Student at college / university,USA,6,47.0,USA,USA,no,no,alone
97,3,3,3,3,1,3,1,10.0,having fun,0.0,0.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,Male,18,Student at college / university,USA,17,31.0,USA,USA,no,no,alone
99,1,0,1,1,0,2,0,8.0,winning,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,Male,20,Student at college / university,Germany,5,16.0,DEU,DEU,yes,yes,strangers
100,0,0,0,0,0,0,0,25.0,winning,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,Male,18,Student at school,UK,0,,GBR,GBR,yes,yes,strangers
101,0,0,0,0,1,0,0,25.0,winning,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,Male,22,Employed,South Africa,1,15.0,ZAF,ZAF,yes,yes,strangers
102,1,3,2,2,2,1,0,16.0,improving,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,Male,22,Student at college / university,Germany,11,45.0,DEU,DEU,yes,yes,strangers
103,0,0,0,0,0,1,0,20.0,improving,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,Male,27,Student at college / university,Germany,1,15.0,DEU,DEU,yes,yes,friends
104,0,0,0,0,0,0,0,15.0,improving,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,Male,20,Unemployed / between jobs,USA,0,16.0,USA,USA,yes,yes,friends
105,0,0,0,0,0,0,0,50.0,improving,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Unemployed / between jobs,Croatia,0,5.0,HRV,HRV,yes,yes,online acquaintaces
106,2,2,3,1,1,3,1,12.0,winning,2.0,2.0,2.0,4.0,4.0,4.0,0.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,Male,18,Student at college / university,UK,13,50.0,GBR,GBR,yes,yes,strangers
107,3,3,3,3,2,0,1,28.0,having fun,0.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,Male,19,Unemployed / between jobs,Switzerland,15,33.0,CHE,DEU,no,no,alone
108,0,0,1,0,0,1,1,25.0,improving,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,Male,19,Student at college / university,Croatia,3,21.0,HRV,HRV,yes,yes,strangers
